,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
223,1995-01-02,TATAMOTORS,517.5,524.7,517.5,524.2,522.0,1100,573530.0,521.39,,0.4214559386973267,,
224,1995-01-03,TATAMOTORS,518.0,520.0,515.0,515.0,524.2,1500,775450.0,516.97,,-1.7550553223960406,,
225,1995-01-04,TATAMOTORS,515.0,515.0,515.0,515.0,515.0,300,154500.0,515.0,,0.0,,
226,1995-01-05,TATAMOTORS,480.0,480.0,480.0,480.0,515.0,50,24000.0,480.0,,-6.796116504854369,,
227,1995-01-06,TATAMOTORS,495.0,501.0,495.0,498.7,480.0,200,99550.0,497.75,,3.895833333333331,,
228,1995-01-09,TATAMOTORS,495.0,495.0,495.0,495.0,498.7,100,49500.0,495.0,,-0.7419290154401421,,
229,1995-01-10,TATAMOTORS,490.0,490.0,490.0,490.0,495.0,450,220500.0,490.0,,-1.0101010101010102,,
230,1995-01-11,TATAMOTORS,470.0,480.0,470.0,480.0,490.0,300,142000.0,473.33,,-2.0408163265306123,,
231,1995-01-12,TATAMOTORS,485.0,485.0,480.0,480.0,480.0,250,120600.0,482.4,,0.0,,
232,1995-01-13,TATAMOTORS,482.0,482.0,470.0,470.0,480.0,100,47600.0,476.0,,-2.083333333333333,,
233,1995-01-16,TATAMOTORS,480.0,484.0,480.0,482.95,470.0,200,96397.5,481.99,,2.755319148936168,,
234,1995-01-17,TATAMOTORS,483.0,483.0,477.0,477.0,482.95,250,119825.0,479.3,,-1.2320115954032484,,
235,1995-01-18,TATAMOTORS,482.0,482.0,475.0,476.0,477.0,200,95500.0,477.5,,-0.20964360587002098,,
236,1995-01-19,TATAMOTORS,480.0,480.0,480.0,480.0,476.0,150,72000.0,480.0,,0.8403361344537815,,
237,1995-01-20,TATAMOTORS,481.0,485.0,481.0,482.0,480.0,300,144825.0,482.75,,0.4166666666666667,,
238,1995-01-23,TATAMOTORS,470.0,470.0,450.0,452.5,482.0,350,160000.0,457.14,,-6.1203319502074685,,
239,1995-01-24,TATAMOTORS,460.0,467.5,456.75,467.5,452.5,700,322787.5,461.13,,3.314917127071823,,
240,1995-01-25,TATAMOTORS,460.0,480.0,460.0,480.0,467.5,400,188250.0,470.63,,2.6737967914438503,,
241,1995-01-27,TATAMOTORS,465.0,485.0,465.0,485.0,480.0,2450,1179700.0,481.51,,1.0416666666666665,,
